letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,9095.0,12.5917,14.0,8954.0,9300.0,9104.0,14.0,12.5972,93.9364,8824.0408,9.0,0.099,3495.0,27968.0,9545.0,14.0,13.0158,4998.0123,24980126.8445,450.0,4.9478
T,6296.0,8.7166,13.0,6098.0,6494.0,6296.0,13.0,8.7118,88.0219,7747.8547,0.0,0.0,2471.0,13983.0,6713.0,13.0,9.154,3040.0767,9242066.129,417.0,6.6233
O,5880.0,8.1407,13.0,5760.0,6046.0,5890.0,13.0,8.15,69.6795,4855.231,10.0,0.1701,2471.0,13983.0,6096.0,13.0,8.3127,2467.3343,6087738.4098,216.0,3.6735
A,5400.0,7.4761,13.0,5250.0,5608.0,5404.0,13.0,7.4775,75.7135,5732.5404,4.0,0.0741,1747.0,9887.0,4833.0,13.0,6.5904,1973.8637,3896137.9592,567.0,10.5
I,4783.0,6.6219,13.0,4644.0,4978.0,4796.0,13.0,6.6362,67.2092,4517.0759,13.0,0.2718,1747.0,13983.0,5071.0,13.0,6.9149,2768.8432,7666492.4996,288.0,6.0213
H,4743.0,6.5665,13.0,4640.0,4868.0,4747.0,13.0,6.5684,56.3911,3179.9527,4.0,0.0843,1747.0,6991.0,4656.0,13.0,6.349,1618.712,2620228.4996,87.0,1.8343
S,4706.0,6.5153,13.0,4546.0,4878.0,4716.0,13.0,6.5255,77.5113,6008.0016,10.0,0.2125,1747.0,9887.0,4917.0,13.0,6.7049,2331.4897,5435844.0555,211.0,4.4836
N,4656.0,6.4461,13.0,4478.0,4810.0,4659.0,13.0,6.4467,61.633,3798.6302,3.0,0.0644,1747.0,19776.0,4917.0,13.0,6.7049,3130.7029,9801300.8037,261.0,5.6057
R,4386.0,6.0723,13.0,4266.0,4562.0,4393.0,13.0,6.0786,63.262,4002.0833,7.0,0.1596,1747.0,9887.0,4256.0,13.0,5.8036,1924.2921,3702900.0882,130.0,2.964
L,3281.0,4.5424,12.0,3164.0,3414.0,3290.0,12.0,4.5524,56.9103,3238.7853,9.0,0.2743,1235.0,6991.0,3329.0,12.0,4.5395,1211.3001,1467247.8302,48.0,1.463
D,2795.0,3.8696,12.0,2662.0,2898.0,2786.0,12.0,3.855,47.819,2286.6547,9.0,0.322,873.0,4943.0,2617.0,12.0,3.5686,1030.5898,1062115.3649,178.0,6.3685
U,2480.0,3.4335,12.0,2374.0,2576.0,2474.0,12.0,3.4233,48.1307,2316.5649,6.0,0.2419,617.0,6991.0,2769.0,12.0,3.7759,1417.7639,2010054.3935,289.0,11.6532
M,2263.0,3.133,12.0,2176.0,2332.0,2251.0,12.0,3.1147,41.6996,1738.8555,12.0,0.5303,873.0,4943.0,2225.0,12.0,3.0341,1018.5498,1037443.7045,38.0,1.6792
Y,1882.0,2.6056,11.0,1832.0,1970.0,1892.0,11.0,2.618,32.4046,1050.0588,10.0,0.5313,873.0,4943.0,1846.0,11.0,2.5172,825.1932,680943.871,36.0,1.9129
W,1770.0,2.4505,11.0,1696.0,1854.0,1777.0,11.0,2.4588,40.8689,1670.271,7.0,0.3955,617.0,4943.0,1724.0,11.0,2.3509,814.8219,663934.6939,46.0,2.5989
C,1365.0,1.8898,11.0,1286.0,1476.0,1361.0,11.0,1.8832,38.6115,1490.8473,4.0,0.293,617.0,3495.0,1485.0,11.0,2.025,541.1865,292882.8016,120.0,8.7912
F,1346.0,1.8635,11.0,1248.0,1402.0,1344.0,11.0,1.8597,32.0837,1029.3616,2.0,0.1486,617.0,3495.0,1462.0,11.0,1.9936,575.1984,330853.218,116.0,8.6181
G,1208.0,1.6724,11.0,1154.0,1258.0,1209.0,11.0,1.6729,24.9055,620.2841,1.0,0.0828,617.0,1747.0,1094.0,11.0,1.4918,330.433,109185.9935,114.0,9.4371
P,1161.0,1.6074,11.0,1088.0,1248.0,1163.0,11.0,1.6092,34.3547,1180.2449,2.0,0.1723,436.0,2471.0,1167.0,11.0,1.5913,517.006,267295.2555,6.0,0.5168
B,1090.0,1.5091,11.0,1028.0,1146.0,1090.0,11.0,1.5082,27.4803,755.169,0.0,0.0,436.0,1747.0,1044.0,11.0,1.4236,358.9877,128872.1424,46.0,4.2202
V,699.0,0.9677,10.0,636.0,762.0,697.0,10.0,0.9644,26.6743,711.5167,2.0,0.2861,308.0,1747.0,668.0,10.0,0.9109,276.7691,76601.1514,31.0,4.4349
K,634.0,0.8778,10.0,578.0,678.0,626.0,10.0,0.8662,21.5955,466.3657,8.0,1.2618,217.0,1235.0,572.0,10.0,0.78,220.8885,48791.7404,62.0,9.7792
Q,115.0,0.1592,7.0,94.0,136.0,113.0,7.0,0.1564,10.3975,108.1078,2.0,1.7391,53.0,436.0,131.0,8.0,0.1786,69.5488,4837.029,16.0,13.913
X,92.0,0.1274,7.0,68.0,114.0,93.0,7.0,0.1287,9.3197,86.8571,1.0,1.087,37.0,153.0,90.0,7.0,0.1227,34.3534,1180.1567,2.0,2.1739
J,58.0,0.0803,6.0,26.0,70.0,56.0,6.0,0.0775,7.7205,59.6065,2.0,3.4483,18.0,153.0,60.0,6.0,0.0818,28.4925,811.8208,2.0,3.4483
È,32.0,0.0443,5.0,22.0,42.0,31.0,5.0,0.0429,5.2061,27.1037,1.0,3.125,18.0,76.0,32.0,5.0,0.0436,10.5204,110.6792,0.0,0.0
Z,13.0,0.018,4.0,4.0,22.0,12.0,4.0,0.0166,3.8256,14.6351,1.0,7.6923,8.0,26.0,13.0,4.0,0.0177,4.6219,21.3616,0.0,0.0
Æ,1.0,0.0014,0.0,0.0,2.0,0.0,-inf,0.0,1.0069,1.0139,1.0,100.0,2.0,2.0,2.0,1.0,0.0027,0.0,0.0,1.0,100.0
